absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-18 07:37:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 08:36:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 09:11:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 10:11:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 10:46:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 11:46:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 12:21:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 13:04:10+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 13:07:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 13:21:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 13:56:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 14:37:40+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 14:44:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 14:55:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 15:31:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 16:09:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 16:21:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 16:30:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 17:06:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 17:43:10+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 17:56:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 18:05:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 18:40:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 19:19:50+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 19:27:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 19:40:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 20:15:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 21:15:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 21:50:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 22:50:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 23:25:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 00:24:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 01:00:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
